Question,Answer,Contexts,Ground Truth
چه روابطی بین مسئولیت‌های شرکاء در شرکت‌های تضامنی و با مسئولیت محدود وجود دارد و چگونه این مسئولیت‌ها در قبال طلبکاران تعریف می‌شوند؟,در شرکت تضامنی، هر یک از شرکاء مسئولیت تضامنی دارند و در صورت عدم توانایی شرکت در پرداخت تمام قروض، هر یک از شرکاء می‌توانند مسئول پرداخت تمام قروض شرکت باشند. اما در شرکت با مسئولیت محدود، شریک با مسئولیت محدود تنها تا میزان سرمایه‌ای که در شرکت گذاشته یا باید بگذارد مسئولیت دارد. در هر دو حالت، طلبکاران حق دارند در صورت عدم پرداخت تمام یا قسمتی از سهم شرکاء، اقدامات قانونی را علیه شریک با مسئولیت محدود یا شرکاء شرکت تضامنی انجام دهند.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 116 - شركت تضامني شركتي است كه در تحت اسم مخصوصي براي امور تجارتي بين دو يا چند نفر با مسئوليت تضامني تشكيل ميشود : اگر دارائي شركت براي تأديه تمام قروض كافي نباشد هر يك از شركاء مسئول پرداخت تمام قروض شركت است.\nهر قراري كه بين شركاء برخلاف اين ترتيب داده شده باشد در مقابل اشخاص ثالث كان لم يكن خواهد بود.\n\n', 'قانون تجارت - ماده 141 - شركت مختلط غيرسهامي شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين يك يا چند نفر شريك ضامن و يك يا چند نفر شريك با مسئوليت محدود بدون انتشار سهام تشكيل مي شود.\nشريك ضامن مسئول كليه قروضي است كه ممكن است علاوه بر دارائي شركت پيدا شود - شريك با مسئوليت محدود كسي است كه مسئوليت اوفقط تا ميزان سرماية است كه در شركت گذارده و يا بايستي بگذارد.\nدر اسم شركت بايد عبارت (شركت مختلط) و لااقل اسم يكي از شركاءِ ضامن قيد شود.\n\n']",در شرکت‌های تضامنی، شرکاء به صورت تضامنی مسئول قروض شرکت هستند، در حالی که در شرکت‌های با مسئولیت محدود، شرکاء تنها تا میزان سرمایه خود مسئولیت دارند. این تفاوت‌ها تأثیر مستقیمی بر نحوه برخورد طلبکاران با شرکت و شرکاء در صورت بدهی دارد. (مواد 94، 116 و 124)
چه تبعاتی برای شرکاء و مدیران در صورت تقسیم منافع نادرست یا ارائه اطلاعات مالی نادرست در شرکت‌های با مسئولیت محدود وجود دارد؟,تبعات تقسیم منافع نادرست یا ارائه اطلاعات مالی نادرست در شرکت‌های با مسئولیت محدود شامل از دست دادن اعتبار و اعتماد عمومی، افزایش خطرات حقوقی و مالی برای شرکاء و مدیران، افزایش احتمال وقوع تضارب منافع و در نهایت ممکن است منجر به اخلال در عملکرد شرکت و حتی تعطیلی آن شود.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 147 - هر شريك با مسئوليت محدود حق نظارت در امور شركت داشته و ميتواند از روي دفاتر اسناد شركت براي اطلاع شخص خود راجع بوضعيت مالي شركت صورت خلاصه ترتيب دهد.\nهر قراردادي كه بين شركاء برخلاف اين ترتيب داده شود از درجه اعتبار ساقط است.\n\n', 'قانون تجارت - ماده 154 - بشريك با مسئوليت محدود فرع نميتوان داد مگر در صورتي كه موجب كسر سرمايه او در شركت نشود.\nاگر در نتيجه ضررهاي وارده سهم الشركه شريك با مسئوليت محدود كسر شد مادام كه اين كمبود جبران نشده تأديه هر ربح يا منفعتي باو ممنوع است.\nهر گاه وجهي برخلاف حكم فوق تأديه گرديد شريك با مسئوليت محدود تا معادل وجه دريافتي مسئول تعهدات شركت است مگر در مورديكه با حسن نيت و باعتبار بيلان مرتبي وجهي گرفته باشد.\n\n']",تقسیم منافع نادرست یا ارائه اطلاعات مالی نادرست می‌تواند منجر به مسئولیت قانونی برای شرکاء و مدیران شود، از جمله مسئولیت مدنی و جزایی برای جبران خسارات وارده به شرکت یا طلبکاران. (مواد 100، 101 و 115)
چگونه می‌توان اختیارات مدیریتی در شرکت‌های با مسئولیت محدود را محدود کرد و چه تأثیری بر نمایندگی شرکت در قبال اشخاص ثالث دارد؟,اختیارات مدیران در شرکت‌های با مسئولیت محدود می‌تواند از طریق تعیین مقررات مربوطه در اساسنامه شرکت محدود شود. این مقررات می‌توانند شامل محدودیت‌هایی برای انجام تعاملات و قراردادهای مدیران با اشخاص ثالث باشند. در صورتی که اختیارات مدیران محدود شود و این محدودیت‌ها در اساسنامه تعیین شده باشد، هر قراردادی که مدیران به نمایندگی از شرکت انجام دهند و با اشخاص ثالث منعقد شود، باطل خواهد بود و شرکت مسئولیتی در قبال آن نخواهد داشت.,"['قانون تجارت - ماده 105 - مديران شركت كليه اختيارات لازمه را براي نمايندگي و اداره شركت خواهند داشت مگر اينكه در اساسنامه غير اين ترتيب مقرر شده باشد هر قرارداد راجع به محدود كردن اختيارات مديران كه در اساسنامه تصريح به آن نشده در مقابل اشخاص ثالث باطل و كان لم يكن است.\n\n', 'قانون تجارت - ماده 110(الحاقي 24ˏ12ˏ1347)- اشخاص حقوقي را ميتوان بمديريت شركت انتخاب نمود. در اين صورت شخص حقوقي همان مسئوليتهاي مدني شخص حقيقيعضو هيئت مديره را داشته و بايد يك نفر را بنمايندگي دائمي خود جهت انجام وظايف مديريت معرفي نمايد.\nچنين نمايندهاي مشمول همان شرايط و تعهدات و مسئوليتهاي مدني و جزائي عضو هيئت مديره بوده و از جهت مدني با شخص حقوقي كه او را بنمايندگي تعيين نموده است مسئوليت تضامني خواهد داشت.\nشخص حقوقي عضو هيئت مديره ميتواند نماينده خود را عزل كند بشرط آنكه در همان موقع جانشين او را كتباً بشركت معرفي نمايد وگرنه غايب محسوب ميشود. \n\n', 'قانون تجارت - ماده 104 - شركت با مسئوليت محدود بوسيله يك يا چند نفر مدير موظف يا غير موظف كه از بين شركاء يا از خارج براي مدت محدود يانامحدودي معين ميشوند اداره ميگردد.\n\n']",اختیارات مدیریتی در شرکت‌های با مسئولیت محدود می‌تواند از طریق اساسنامه محدود شود. هرگونه قراردادی که اختیارات مدیران را محدود کند و در اساسنامه ذکر نشده باشد، در مقابل اشخاص ثالث باطل است. (مواد 104 و 105)
نقش هیئت نظار در شرکت‌های با مسئولیت محدود با بیش از دوازده شریک چیست و چه وظایفی دارد؟,هیئت نظار در شرکت‌های با مسئولیت محدود با بیش از دوازده شریک، وظیفه تحقیق و اطمینان حاصل کردن از رعایت دستور مواد 96 و 97 را دارد. همچنین می‌تواند شرکاء را برای انعقاد مجمع عمومی فوقالعاده دعوت کند و مقررات مربوط به شرکت‌های با مسئولیت محدود را رعایت می‌کند.,"['قانون تجارت - ماده 109 - هر شركت با مسئوليت محدود كه عده شركاءِ آن بيش از دوازده نفر باشد بايد داراي هيئت نظار بوده و هيئت مزبور لااقل سالي يكمرتبه مجمع عمومي شركاء را تشكيل دهد.\nهيئت نظار بايد بلافاصله بعد از انتخاب شدن تحقيق كرده و اطمينان حاصل كند كه دستور مواد 96 و 97 رعايت شده است.\nهيئت نظار ميتواند شركاء را براي انعقاد مجمع عمومي فوقالعاده دعوت نمايد مقررات مواد 165 - 167 - 168 و 170 در مورد شركتهاي با مسئوليت محدود نيز رعايت خواهد شد.\n\n', 'قانون تجارت - ماده 147 - هر شريك با مسئوليت محدود حق نظارت در امور شركت داشته و ميتواند از روي دفاتر اسناد شركت براي اطلاع شخص خود راجع بوضعيت مالي شركت صورت خلاصه ترتيب دهد.\nهر قراردادي كه بين شركاء برخلاف اين ترتيب داده شود از درجه اعتبار ساقط است.\n\n', 'قانون تجارت - ماده 104 - شركت با مسئوليت محدود بوسيله يك يا چند نفر مدير موظف يا غير موظف كه از بين شركاء يا از خارج براي مدت محدود يانامحدودي معين ميشوند اداره ميگردد.\n\n']",هیئت نظار در شرکت‌های با مسئولیت محدود با بیش از دوازده شریک وظیفه نظارت بر رعایت قوانین و مقررات، اطمینان از اجرای صحیح مواد 96 و 97 و دعوت به مجمع عمومی دارد. (ماده 109)
چه شرایطی برای تغییر تابعیت یک شرکت و تغییرات دیگر در اساسنامه شرکت‌های با مسئولیت محدود و تضامنی وجود دارد؟,برای تغییر تابعیت یک شرکت و تغییرات دیگر در اساسنامه شرکت‌های با مسئولیت محدود و تضامنی، باید کلیه مندرجات اعلامیه تبدیل شرکت، اساسنامه شرکت، صورت دارائی شرکت، اموال منقول و غیر منقول، آخرین ترازنامه و حساب سود و زیان آن در مرجع ثبت شرکتها و در مرکز شرکت برای مراجعه علاقمندان آماده شود. همچنین آگهی تبدیل شرکت باید در روزنامه‌های کثیرالانتشاری منتشر شود.,"['قانون تجارت - ماده 296(الحاقي 24ˏ12ˏ1347)- در آگهي تبديل شركتهاي سهامي موجود در تاريخ تصويب اين قانون بشركت سهامي عام بايد كليه مندرجات اعلاميه تبديل شركت ذكر گردد و قيد شود كه اساسنامه شركت و صورت دارائي شركت و اموال منقول و غير منقول و آخرين ترازنامه و حساب سود و زيان آن در مرجع ثبت شركتها و در مركز شركت براي مراجعه علاقمندان آماده ميباشد. آگهي تبديل شركت بايد علاوه بر روزنامه كثير الانتشاري كه آگهيهاي شركت در آن درج ميگردد اقلا در يك روزنامه كثيرالانتشار ديگر نيز آگهي شود.\n\n', 'قانون تجارت - ماده 281(الحاقي 24ˏ12ˏ1347)- در آگهي تبديل شركت بايد كليه مندرجات اعلاميه تبديل شركت ذكر گردد و قيد شود كه اساسنامه شركت و دو ترازنامه و حساب سود وزيان آن مربوط بدو سال قبل از اتخاذ تصميم نسبت به تبديل شركت و همچنين صورت دارائي شركت و اموال منقول و غير منقول آن در مرجع ثبت شركتها و در مركز شركت براي مراجعه علاقمندان آماده ميباشد آگهي تبديل شركت بايد علاوه بر روزنامه كثيرالانتشاري كه آگهيهاي شركت در آن درج ميگردد اقلا در يك روزنامه كثيرالانتشار ديگر نيز آگهي شود.\n\n', 'قانون تجارت - ماده 44(الحاقي 24ˏ12ˏ1347)- در مورد تبديل سهام بينام بسهام بانام بايد مراتب در روزنامه كثير الانتشاري كه آگهيهاي مربوط بشركت در آن نشر ميگردد سه نوبتهر يك بفاصله پنج روز منتشر و مهلتي كه كمتر از شش ماه از تاريخ اولين آگهي نباشد بصاحبان سهام داده شود تا براي تبديل سهام خود بمركزشركت مراجعه كنند. در آگهي تصريح خواهد شد كه پس از انقضاي مهلت مزبور كليه سهام بينام شركت باطل شده تلقي ميگردد.\n\n']",تغییر تابعیت شرکت فقط با تفاق آراء شرکاء ممکن است. هر تغییر دیگری در اساسنامه نیاز به اکثریت عددی شرکاء دارد که لااقل سه ربع سرمایه را داشته باشند. (مواد 110 و 111)
 قبل از صدور حکم ورشکستگی تاجر، حکمی در محکومیت مالی تاجر به پرداخت مبلغ دین به نفع یکی از طلبکاران صادر و اجرا شده است. بعد از صدور حکم ورشکستگی، دادگاه تاریخ توقف او را قبل از عملیات اجرایی حکم موردی مزبور تعیین نموده است. این امر چه تأثیری نسبت به حکم اجرا شده فوق دارد؟,تاریخ توقف تاجر قبل از عملیات اجرایی حکم مالی مزبور، باعث قطعی و غیرقابل تغییر شدن حکم اجرایی مالی مزبور نسبت به طلبکاران می‌شود. به عبارت دیگر، طلبکاران دیگر نمی‌توانند از تاریخ توقف جدیدی برای اجرای حکم مالی خود درخواست کنند و تاریخ توقف قبلی قطعی و نهایی خواهد بود.,"['قانون تجارت - ماده 418 - تاجر ورشكسته از تاريخ صدور حكم از مداخله در تمام اموال خود حتي آنچه كه ممكن است در مدت ورشكستگي عايد او گردد ممنوع است. در كليه اختيارات و حقوق مالي ورشكسته كه استفاده از آن مؤثر در تأديه ديون او باشد مدير تصفيه قائم مقام قانوني ورشكسته بوده و حق دارد بجاي او از اختيارات و حقوق مزبوره استفاده كند.\n\n', 'قانون تجارت - ماده 557 - كليه قراردادهائي كه پس از تاريخ توقف تاجر منعقد شده باشد نسبت بهر كس حتي خود تاجر ورشكسته محكوم به بطلان است - طرف قرارداد مجبور است كه وجوه يا اموالي را كه بموجب قرارداد باطل شده دريافت كرده است باشخاص ذيحق مسترد دارد.\n\n', 'قانون تجارت - ماده 538 - پس از انقضاي مهلتي كه براي تشخيص و تصديق مطالبات طلبكارها معين شده است ديگر هيچ تقاضائي از طرف طلبكارها راجع بتعيين تاريخ توقف بغير آن تاريخي كه بموجب حكم ورشكستگي يا حكم ديگري كه در اين باب صادر شده قبول نخواهد شد - همينكه مهلتهاي مزبور منقضي شد تاريخ توقف نسبت به طلبكارها قطعي و غيرقابل تغيير خواهد بود.\n\n']",عملیات اجرایی مزبور، باطل و بالاثر است. (ماده 423)
 حکم ادعای خیار نسبت به اموال متصرفی تاجر ورشکسته چیست؟,حکم ادعای خیار نسبت به اموال متصرفی تاجر ورشکسته این است که مجری خواهد بود، مشروط بر اینکه بر ضرر طلبکارها نباشد.,"['قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n', 'قانون تجارت - ماده 510 - در صورتي كه عمل تاجر ورشكسته منجر بتفريغ حساب شود مدير تصفيه مكلف است تمام اموال منقول و غيرمنقول تاجر ورشكسته را بفروش رسانيده مطالبات و ديون و حقوق او را صلح و مصالحه و وصول و تفريغ كند تمام اين مراتب در تحت نظر عضو ناظر و با حضور تاجر ورشكسته بعمل ميآيد. اگر تاجر ورشكسته از حضور استنكاف نمود استحضار مدعيالعموم كافي است - فروش اموال مطابق نظامنامه وزارت عدليه بعمل خواهد آمد.\n\n', 'قانون تجارت - ماده 418 - تاجر ورشكسته از تاريخ صدور حكم از مداخله در تمام اموال خود حتي آنچه كه ممكن است در مدت ورشكستگي عايد او گردد ممنوع است. در كليه اختيارات و حقوق مالي ورشكسته كه استفاده از آن مؤثر در تأديه ديون او باشد مدير تصفيه قائم مقام قانوني ورشكسته بوده و حق دارد بجاي او از اختيارات و حقوق مزبوره استفاده كند.\n\n']", خیاراتی که وی نسبت به اموال متصرفی خود دارد، اگر به ضرر طلبکاران نباشد، می تواند به اجرا گذارد. (مواد 474 و 475)
شرکت تعاونی تولید و مصرف چه تفاوتی با شرکت نسبی دارد؟,تفاوت اصلی بین شرکت تعاونی تولید و مصرف و شرکت نسبی این است که در شرکت تعاونی تولید و مصرف، اعضا به عنوان شرکای فعال در فعالیت‌های تولید و مصرف شرکت شرکت می‌کنند و نه به عنوان سرمایه‌گذاران. به عبارت دیگر، در شرکت تعاونی تولید و مصرف، اعضا فعالیت‌های تولیدی و مصرفی را انجام می‌دهند و سود و زیان از این فعالیت‌ها بین آنها تقسیم می‌شود، در حالی که در شرکت نسبی، اعضا به عنوان سرمایه‌گذاران شرکت می‌کنند و سود و زیان بر اساس سرمایه‌گذاری آنها تقسیم می‌شود.,"['قانون تجارت - ماده 194 - در صورتيكه شركت تعاوني توليد يا مصرف مطابق اصول شركت سهامي تشكيل شود حداقل سهام يا قطعات سهام ده ريال خواهد بود و هيچيك از شركاء نميتوانند در مجمع عمومي بيش از يك رأي داشته باشد.\n\nفصل دوم\nدر مقررات راجعه بثبت شركتها و نشر شركتنامهها\n\n', 'قانون تجارت - ماده 193 - شركت تعاوني اعم از توليد يا مصرف ممكن است مطابق اصول شركت سهامي يا بر طبق مقررات مخصوصي كه با تراضي شركاء ترتيب داده شده باشد تشكيل بشود ولي در هر حال مفاد مواد 32 - 33 لازمالرعايه است.\n\n', 'قانون تجارت - ماده 192 - شركت تعاوني مصرف شركتي است كه براي مقاصد ذيل تشكيل ميشود:\n1 - فروش اجناس لازمه براي مصارف زندگاني اعم از اينكه اجناس مزبوره را شركاء ايجاد كرده يا خريده باشند.\n2 - تقسيم نفع و ضرر بين شركاء بنسبت خريد هر يك از آنها.\n\n']",شركت تعاوني توليد شركتي است كه بين عدة از ارباب حرف تشكيل ميشود و شركاء مشاغل خود را براي توليد و فروش اشياء يا ‌اجناس بكار ميبرند. در حالی که، شركت نسبي شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين دو يا چند نفر تشكيل و مسئوليت هر يك از شركاء بنسبت سرمايه‌ايست كه در شركت گذاشته. (مواد 183 و 190) 
در صورتی شركت در چندين حوزه شعبه داشته باشد، برای ثبت آن باید چه کرد؟,باید به موجب حکم بطلان شرکت، شرکت‌های مستند بعمل آنها را ثبت کرد.,"['قانون مجازات اسلامي - ماده 335 ـ چنانچه لوث تنها عليه برخي از افراد حاصل شود و شاكي عليه افراد بيشتري ادعاي مشاركت در ارتكاب جنايت را نمايد، با قسامه، جنايت به مقدار ادعاي مدعي، در موردي كه لوث حاصل شده است اثبات مي شود مانند آن كه ولي دم مدعي مشاركت سه مرد در قتل عمدي مردي باشد و لوث فقط عليه مشاركت دو نفر از آنان باشد، پس از اقامه قسامه عليه آن دو نفر، حق قصاص عليه آن دو به مقدار سهم شان ثابت است. اگر ولي دم بخواهد هر دو نفر را قصاص كند، بايد به سبب اقرار خود به اشتراك سه مرد، دو سوم ديه را به هر يك از قصاص شوندگان بپردازد.\n\nتبصره ـ رجوع شاكي از اقرارِ به شركت افراد بيشتر پذيرفته نيست مگر اين كه از ابتداء، شركت افراد بيشتر را به نحو ترديد ذكر كرده باشد و كساني كه در قسامه اتيان سوگند كرده اند نيز شركت افراد ديگر را در ارتكاب جنايت نفي كرده و بر ارتكاب قتل توسط افراد كمتر سوگند ياد كرده باشند.\n\n', 'قانون تجارت - ماده 101 - اگر حكم بطلان شركت باستناد ماده قبل صادر شود شركائي كه بطلان مستند بعمل آنها است و هيئت نظار و مديرهائي كه در حين حدوث سبب بطلان يا بلافاصله پس از آن سر كار بوده و انجام وظيفه نكردهاند در مقابل شركاءِ ديگر و اشخاص ثالث نسبت بخسارات ناشيه از اين بطلان متضامناً مسئول خواهند بود.\nمدت مرور زمان ده سال از تاريخ حدوث موجب بطلان است.\n\n', 'قانون مجازات اسلامي - ماده 373 ـ در موارد شركت در جنايت عمدي، حسب مورد، مجنيٌ عليه يا ولي دم مي تواند يكي از شركا در جنايت عمدي را قصاص كند و ديگران بايد بلافاصله سهم خود از ديه را به قصاص شونده بپردازند و يا اين كه همه شركا يا بيش از يكي از آنان را قصاص كند، مشروط بر اين كه ديه مازاد بر جنايت پديدآمده را پيش از قصاص، به قصاص شوندگان بپردازد. اگر قصاص شوندگان همه شركا نباشند، هر يك از شركا كه قصاص نمي شود نيز بايد سهم خود از ديه جنايت را به نسبت تعداد شركا بپردازد.\n\nتبصره ـ اگر مجنيٌ عليه يا ولي دم، خواهان قصاص برخي از شركا باشد و از حق خود نسبت به برخي ديگر مجاني گذشت كند يا با آنان مصالحه نمايد، در صورتي كه ديه قصاص شوندگان بيش از سهم جنايتشان باشد، بايد پيش از قصاص، مازاد ديه آنان را به قصاص شوندگان بپردازد.\n\n']",هر گاه شركت در چندين حوزه شعبه داشته باشد مقررات مواد 195 و 197 بايد بقسميكه در نظامنامه وزارت عدليه معين ميشود در ‌هر حوزه جداگانه انجام گردد. (مواد 199 و 195)
 در صورتی که به دلیل عدم رعایت مقررات تشکیل شرکت سهامی، حکم به بطالن صادر شود و در مرحله تجدیدنظر خواهی، موجبات بطالن مرتفع شده باشد، تصمیم دادگاه چه خواهد بود؟,در صورتی که به دلیل عدم رعایت مقررات تشکیل شرکت سهامی، حکم به بطالن صادر شود و در مرحله تجدیدنظر خواهی، موجبات بطالن مرتفع شده باشد، تصمیم دادگاه این خواهد بود که شرکاء و اعضای هیئت نظارت و مدیرانی که در حین حدوث سبب بطلان یا بلافاصله پس از آن سرکار بوده و وظایف خود را انجام نداده‌اند، متضامناً مسئول خسارات ناشی از بطالن شرکت خواهند بود.,"['قانون تجارت - ماده 199(الحاقي 24ˏ12ˏ1347)- شركت سهامي در موارد زير منحل ميشود:\n1 - وقتيكه شركت موضوعي را كه براي آن تشكيل شده است انجام داده يا انجام آن غير ممكن شده باشد.\n2 - در صورتيكه شركت براي مدت معين تشكيل گرديده و آنمدت منقضي شده باشد مگر اينكه مدت قبل از انقضاء تمديد شده باشد.\n3 - در صورت ورشكستگي\n4 - در هر موقع كه مجمع عمومي فوقالعاده صاحبان سهام بهر علتي رأي بانحلال شركت بدهد\n5 - در صورت صدور حكم قطعي دادگاه\n\n', 'قانون تجارت - ماده 101 - اگر حكم بطلان شركت باستناد ماده قبل صادر شود شركائي كه بطلان مستند بعمل آنها است و هيئت نظار و مديرهائي كه در حين حدوث سبب بطلان يا بلافاصله پس از آن سر كار بوده و انجام وظيفه نكردهاند در مقابل شركاءِ ديگر و اشخاص ثالث نسبت بخسارات ناشيه از اين بطلان متضامناً مسئول خواهند بود.\nمدت مرور زمان ده سال از تاريخ حدوث موجب بطلان است.\n\n', 'قانون تجارت - ماده 201(الحاقي 24ˏ12ˏ1347)- در موارد زير هر ذينفع ميتواند انحلال شركت را از دادگاه بخواهد\n1 - در صورتيكه تا يكسال پس از به ثبت رسيدن شركت هيچ اقدامي جهت انجام موضوع آن صورت نگرفته باشد و نيز در صورتيكه فعاليتهاي شركت در مدت بيش از يكسال متوقف شده باشد.\n2 - در صورتيكه مجمع عمومي سالانه براي رسيدگي بحسابهاي هر يك از سالهاي مالي تا ده ماه از تاريخي كه اساسنامه معين كرده استتشكيل نشده باشد.\n3 - در صورتيكه سمت تمام يا بعضي از اعضاي هيئت مديره و همچنين سمت مدير عامل شركت طي مدتي زائد بر ششماه بلامتصدي ماندهباشد.\n4 - در مورد بندهاي يك و دو ماده 199 در صورتيكه مجمع عمومي فوقالعاده صاحبان سهام جهت اعلام انحلال شركت تشكيل نشود و يا راي بانحلال شركت ندهد.\n\n']",تصمیم دادگاه تأیید حکم بطلان می باشد. (مواد 271 و272)
در چه صورتی تقسيم دارائي شركتهاي سهامي و شركتهاي با مسئوليت محدود و تعاوني بين شركاء خواه در ضمن مدت تصفيه و خواه پس از ختم آن ممكن است؟,تقسیم دارایی شرکت‌های سهامی و شرکت‌های با مسئولیت محدود و تعاونی بین شرکاء، هم در ضمن مدت تصفیه و هم پس از ختم آن، در صورتی که شرکت ورشکست شود، امکان پذیر است.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 199(الحاقي 24ˏ12ˏ1347)- شركت سهامي در موارد زير منحل ميشود:\n1 - وقتيكه شركت موضوعي را كه براي آن تشكيل شده است انجام داده يا انجام آن غير ممكن شده باشد.\n2 - در صورتيكه شركت براي مدت معين تشكيل گرديده و آنمدت منقضي شده باشد مگر اينكه مدت قبل از انقضاء تمديد شده باشد.\n3 - در صورت ورشكستگي\n4 - در هر موقع كه مجمع عمومي فوقالعاده صاحبان سهام بهر علتي رأي بانحلال شركت بدهد\n5 - در صورت صدور حكم قطعي دادگاه\n\n', 'قانون تجارت - ماده 114 - شركت با مسئوليت محدود در موارد ذيل منحل ميشود:\nالف) در مورد فقرات 1 - 2 - 3 ماده 93.\nب) در صورت تصميم عدة از شركاء كه سهم الشركه آنها بيش از نصف سرمايه شركت باشد.\nج) در صورتيكه بواسطه ضررهاي وارده نصف سرمايه شركت از بين رفته و يكي از شركاء تقاضاي انحلال كرده و محكمه دلايل او را موجّه ديده و ساير شركاء حاضر نباشند سهمي را كه در صورت انحلال به او تعلق ميگيرد پرداخته و او را از شركت خارج كنند.\nد) در مورد فوت يكي از شركاء اگر بموجب اساسنامه پيش بيني شده باشد.\n\n']",در صورتی که قبلاً ‌سه مرتبه در مجله رسمي و يكي از جرايد اعلان و يكسال از تاريخ انتشار اولين اعلان در مجله گذشته باشد. (مواد 214 و 215)
مدت مرور زمان در دعاوی اشخاص ثالث بر علیه شرکاء یا وراث آنها چقدر است و از چه رمانی آغاز می شود؟,مدت مرور زمان در دعاوی اشخاص ثالث بر علیه شرکاء یا وراث آنها پنج سال است و از روزی آغاز می‌شود که انحلال شرکت یا کناره گیری شریک یا اخراج او از شرکت در اداره ثبت بثبت رسیده و در مجله رسمی اعلان شده باشد.,"['قانون تجارت - ماده 219 - مدت مرور زمان در دعاوي اشخاص ثالث بر عليه شركاء يا وراث آنها راجع بمعاملات شركت (در موارديكه قانون شركاء يا ورّاث آنها را مسئول قرار داده) پنجسال است.\nمبداءِ مرور زمان روزي است كه انحلال شركت يا كناره گيري شريك يا اخراج او از شركت در اداره ثبت بثبت رسيده و در مجله رسمي اعلان شده باشد.\nدر صورتي كه طلب پس از ثبت و اعلان قابل مطالبه شده باشد مرور زمان از روزي شروع مي شود كه طلبكار حق مطالبه پيدا كرده.\n\nتبصره - دعوائي كه سنخاً تابع مرور زمان كوتاه تري بوده يا بموجب اينقانون مرور زمان طولاني تري براي آن معين شده از مقررات اين ماده مستثني است.\n\n', 'قانون مجازات اسلامي - ماده 503 ـ هرگاه كسي ديگري را به روي شخص ثالثي پرت كند و شخص ثالث يا شخص پرت شده بميرد يا مصدوم گردد در صورتي كه مشمول تعريف جنايت عمدي نگردد، جنايت شبه عمدي است.\n\n', 'قانون مجازات اسلامي - ماده 424 ـ در هر حق قصاصي اگر بعضي از صاحبان آن، غايب باشند و مدت غيبت آنان كوتاه باشد صدور حكم تا آمدن غايب به تعويق مي افتد و اگر غيبت طولاني باشد و يا اميدي به بازگشتن آنان نباشد مقام رهبري به عنوان ولي غايب به جاي آنان تصميم مي گيرد و چنانچه زمان بازگشت معلوم نباشد مقام رهبري براي آنها پس از گذشت زمان كوتاه و قبل از طولاني شدن زمان غيبت اتخاذ تصميم مي نمايد، كساني كه حاضرند، ميتوانند پس از تأمين سهم غايبان در دادگاه، قصاص كنند و اگر حاضران، گذشت كنند يا با او مصالحه نمايند، حق قصاص غايبان محفوظ است و اگر آنان پس از حاضر شدن، خواهان قصاص باشند، بايد نخست سهم ديه كساني را كه گذشت نموده اند يا با مرتكب مصالحه كرده اند به مرتكب بپردازند و سپس قصاص كنند.\n\n']",مدت مرور زمان پنج سال است، مبداء آن روزی است که انحلال شرکت یا کناره گیری شریک یا اخراج او از شرکت در اداره ثبت بثبت رسیده و در مجله رسمی اعلان شده باشد. تبصره نیز بیان می‌کند که دعواهایی که سنخاً تابع مرور زمان کوتاه‌تر یا بموجب اینقانون مرور زمان طولانی‌تری برای آن معین شده، از این مقررات مستثنی هستند. (ماده 219)
